品牌名称,行业名称,指标数据,日期,指标名称
光遇,手机游戏,2215.28,2026-03-30,品牌综合指数
光遇,手机游戏,2581.44,2026-03-31,品牌综合指数
光遇,手机游戏,2629.86,2026-04-01,品牌综合指数
光遇,手机游戏,2874.85,2026-04-02,品牌综合指数
光遇,手机游戏,3439.59,2026-04-03,品牌综合指数
光遇,手机游戏,5710.47,2026-04-04,品牌综合指数
光遇,手机游戏,5081.39,2026-04-05,品牌综合指数
光遇,手机游戏,4996.01,2026-04-06,品牌综合指数
光遇,手机游戏,2097.82,2026-04-07,品牌综合指数
光遇,手机游戏,2188.68,2026-04-08,品牌综合指数
光遇,手机游戏,2062.76,2026-04-09,品牌综合指数
光遇,手机游戏,3075.31,2026-04-10,品牌综合指数
光遇,手机游戏,6062.29,2026-04-11,品牌综合指数
光遇,手机游戏,5546.95,2026-04-12,品牌综合指数
行业均值,手机游戏,6534.74,2026-03-30,品牌综合指数
行业均值,手机游戏,6786.84,2026-03-31,品牌综合指数
行业均值,手机游戏,7272.98,2026-04-01,品牌综合指数
行业均值,手机游戏,6737.62,2026-04-02,品牌综合指数
行业均值,手机游戏,7346.61,2026-04-03,品牌综合指数
行业均值,手机游戏,8130.38,2026-04-04,品牌综合指数
行业均值,手机游戏,7883.07,2026-04-05,品牌综合指数
行业均值,手机游戏,7591.54,2026-04-06,品牌综合指数
行业均值,手机游戏,6095.46,2026-04-07,品牌综合指数
行业均值,手机游戏,5913.32,2026-04-08,品牌综合指数
行业均值,手机游戏,5840.06,2026-04-09,品牌综合指数
行业均值,手机游戏,7377.26,2026-04-10,品牌综合指数
行业均值,手机游戏,8917.56,2026-04-11,品牌综合指数
行业均值,手机游戏,7932.71,2026-04-12,品牌综合指数
